,phase,library
SRR11287390,G1-G0 transition,U2OS
SRR11287391,G2M,U2OS
SRR11287392,G2M,U2OS
SRR11287393,G2M,U2OS
SRR11287394,S,U2OS
SRR11287395,G2M,U2OS
SRR11287396,S,U2OS
SRR11287397,G2M,U2OS
SRR11287398,S,U2OS
SRR11287400,G2M,U2OS
SRR11287401,G1,U2OS
SRR11287402,G2M,U2OS
SRR11287403,S,U2OS
SRR11287404,G2M,U2OS
SRR11287406,S,U2OS
SRR11287407,G2M,U2OS
SRR11287408,G1-G0 transition,U2OS
SRR11287409,G2M,U2OS
SRR11287410,S,U2OS
SRR11287411,S,U2OS
SRR11287412,S,U2OS
SRR11287413,S,U2OS
SRR11287414,S,U2OS
SRR11287415,S,U2OS
SRR11287416,S,U2OS
SRR11287417,S,U2OS
SRR11287418,S,U2OS
SRR11287419,S,U2OS
SRR11287420,S,U2OS
SRR11287421,S,U2OS
SRR11287422,S,U2OS
SRR11287423,S,U2OS
SRR11287424,S,U2OS
SRR11287425,S,U2OS
SRR11287426,S,U2OS
SRR11287427,S,U2OS
SRR11287428,S,U2OS
SRR11287429,S,U2OS
SRR11287430,S,U2OS
SRR11287431,S,U2OS
SRR11287432,S,U2OS
SRR11287433,S,U2OS
SRR11287434,S,U2OS
SRR11287435,S,U2OS
SRR11287436,S,U2OS
SRR11287437,S,U2OS
SRR11287438,S,U2OS
SRR11287439,S,U2OS
SRR11287440,S,U2OS
SRR11287441,S,U2OS
SRR11287442,S,U2OS
SRR11287443,S,U2OS
SRR11287444,S,U2OS
SRR11287445,S,U2OS
SRR11287446,S,U2OS
SRR11287447,S,U2OS
SRR11287448,S,U2OS
SRR11287449,S,U2OS
SRR11287450,G2M,U2OS
SRR11287451,G2M,U2OS
SRR11287452,G2M,U2OS
SRR11287453,G2M,U2OS
SRR11287454,G2M,U2OS
SRR11287455,G2M,U2OS
SRR11287456,G2M,U2OS
SRR11287457,G2M,U2OS
SRR11287458,G2M,U2OS
SRR11287459,G2M,U2OS
SRR11287460,G2M,U2OS
SRR11287461,G2M,U2OS
SRR11287462,G2M,U2OS
SRR11287463,G2M,U2OS
SRR11287464,G2M,U2OS
SRR11287465,G2M,U2OS
SRR11287466,G2M,U2OS
SRR11287467,G2M,U2OS
SRR11287468,G2M,U2OS
SRR11287469,G2M,U2OS
SRR11287470,G2M,U2OS
SRR11287471,G2M,U2OS
SRR11287472,G2M,U2OS
SRR11287473,G2M,U2OS
SRR11287474,G2M,U2OS
SRR11287475,G2M,U2OS
SRR11287476,G2M,U2OS
SRR11287477,G2M,U2OS
SRR11287478,G2M,U2OS
SRR11287479,G2M,U2OS
SRR11287480,G2M,U2OS
SRR11287481,G2M,U2OS
SRR11287482,G2M,U2OS
SRR11287483,G2M,U2OS
SRR11287484,G2M,U2OS
SRR11287485,G2M,U2OS
SRR11287486,G2M,U2OS
SRR11287487,G2M,U2OS
SRR11287488,G2M,U2OS
SRR11287489,G2M,U2OS
SRR11287490,G2M,U2OS
SRR11287491,G2M,U2OS
SRR11287498,G2M,U2OS
SRR11287499,G2M,U2OS
SRR11287500,G2M,U2OS
SRR11287501,G2M,U2OS
SRR11287502,G2M,U2OS
SRR11287503,G2M,U2OS
SRR11287504,G2M,U2OS
SRR11287505,G2M,U2OS
SRR11287506,G2M,U2OS
SRR11287508,G2M,U2OS
SRR11287509,G2M,U2OS
SRR11287511,G2M,U2OS
SRR11287512,G2M,U2OS
SRR11287513,G2M,U2OS
SRR11287514,G2M,U2OS
SRR11287515,G2M,U2OS
SRR11287516,G2M,U2OS
SRR11287517,G2M,U2OS
SRR11287518,G2M,U2OS
SRR11287519,G2M,U2OS
SRR11287520,G2M,U2OS
SRR11287521,G2M,U2OS
cell_9387,G0,Fibroblast
cell_10579,G1,Fibroblast
cell_12914,S,Fibroblast
cell_19210,G1,Fibroblast
cell_21047,G1-G0 transition,Fibroblast
cell_22865,S,Fibroblast
cell_25261,G2M,Fibroblast
cell_27312,G0,Fibroblast
cell_27774,S,Fibroblast
cell_30718,G0,Fibroblast
cell_33109,G1-G0 transition,Fibroblast
cell_33326,G0,Fibroblast
cell_34215,G0,Fibroblast
cell_39269,G2M,Fibroblast
cell_42373,G0,Fibroblast
cell_47437,G0,Fibroblast
cell_49519,G0,Fibroblast
cell_54454,G0,Fibroblast
cell_59742,S,Fibroblast
cell_59937,G1,Fibroblast
cell_61765,G0,Fibroblast
cell_63049,G0,Fibroblast
cell_66804,G0,Fibroblast
cell_69130,S,Fibroblast
cell_72499,G0,Fibroblast
cell_72989,G1-G0 transition,Fibroblast
cell_73811,G0,Fibroblast
cell_74371,G0,Fibroblast
cell_74451,S,Fibroblast
cell_74924,S,Fibroblast
cell_76985,G0,Fibroblast
cell_80289,G1,Fibroblast
cell_81536,G0,Fibroblast
cell_81977,G2M,Fibroblast
cell_82373,G1-G0 transition,Fibroblast
cell_84043,G2M,Fibroblast
cell_91349,G0,Fibroblast
cell_94138,G0,Fibroblast
cell_96793,G0,Fibroblast
cell_97867,S,Fibroblast
cell_100051,G2M,Fibroblast
cell_101447,G1,Fibroblast
cell_102737,S,Fibroblast
cell_102768,G0,Fibroblast
cell_102888,G0,Fibroblast
cell_104930,G1-G0 transition,Fibroblast
cell_108305,G2M,Fibroblast
cell_116377,S,Fibroblast
cell_116475,G0,Fibroblast
cell_117254,G0,Fibroblast
cell_120169,G1,Fibroblast
cell_121717,G1-G0 transition,Fibroblast
cell_122195,G0,Fibroblast
cell_122497,G1-G0 transition,Fibroblast
cell_123206,G1,Fibroblast
cell_123270,G0,Fibroblast
cell_125328,S,Fibroblast
cell_125644,G1,Fibroblast
cell_127389,G0,Fibroblast
cell_128045,S,Fibroblast
cell_130233,G0,Fibroblast
cell_130316,G0,Fibroblast
cell_131889,G0,Fibroblast
cell_132875,G1-G0 transition,Fibroblast
cell_135383,G2M,Fibroblast
cell_137128,G0,Fibroblast
cell_137303,S,Fibroblast
cell_138024,G0,Fibroblast
cell_140969,G1-G0 transition,Fibroblast
cell_141283,G1-G0 transition,Fibroblast
cell_142995,G2M,Fibroblast
cell_146636,G2M,Fibroblast
cell_146787,G2M,Fibroblast
cell_147463,G1-G0 transition,Fibroblast
cell_147465,S,Fibroblast
cell_150578,G0,Fibroblast
cell_152161,G1,Fibroblast
cell_152407,G1,Fibroblast
cell_154206,G1-G0 transition,Fibroblast
cell_156938,G1,Fibroblast
cell_156967,S,Fibroblast
cell_158105,G0,Fibroblast
cell_160238,G0,Fibroblast
cell_161388,G1,Fibroblast
cell_163368,G2M,Fibroblast
cell_165216,S,Fibroblast
cell_166375,G1-G0 transition,Fibroblast
cell_166918,S,Fibroblast
cell_166933,G0,Fibroblast
cell_168298,G0,Fibroblast
cell_175974,G2M,Fibroblast
cell_178236,G0,Fibroblast
cell_178440,G0,Fibroblast
cell_178791,S,Fibroblast
cell_180329,G2M,Fibroblast
cell_180434,G0,Fibroblast
cell_183614,G0,Fibroblast
cell_184126,G1,Fibroblast
cell_185270,S,Fibroblast
cell_186094,G0,Fibroblast
cell_186442,G0,Fibroblast
cell_188876,G1-G0 transition,Fibroblast
cell_190208,G0,Fibroblast
cell_192534,G1,Fibroblast
cell_192548,G1-G0 transition,Fibroblast
cell_193069,G1,Fibroblast
cell_198379,G1-G0 transition,Fibroblast
cell_200330,G0,Fibroblast
cell_200516,G1-G0 transition,Fibroblast
cell_201349,G1-G0 transition,Fibroblast
cell_204439,G1-G0 transition,Fibroblast
cell_205630,G0,Fibroblast
cell_209407,G0,Fibroblast
cell_211635,G0,Fibroblast
cell_211704,G0,Fibroblast
cell_211956,G0,Fibroblast
cell_214079,S,Fibroblast
cell_214757,S,Fibroblast
cell_215076,G1,Fibroblast
cell_215252,G1,Fibroblast
cell_216979,G1-G0 transition,Fibroblast
cell_217551,S,Fibroblast
cell_217811,G1-G0 transition,Fibroblast
cell_218535,G1,Fibroblast
cell_219294,G0,Fibroblast
cell_221321,S,Fibroblast
cell_221704,G1-G0 transition,Fibroblast
cell_225709,G1,Fibroblast
cell_225926,G1,Fibroblast
cell_225954,G2M,Fibroblast
cell_227374,S,Fibroblast
cell_229420,G1,Fibroblast
cell_230446,G0,Fibroblast
cell_230520,S,Fibroblast
cell_233419,G1,Fibroblast
cell_234891,G0,Fibroblast
cell_236468,S,Fibroblast
cell_238451,G0,Fibroblast
cell_243006,G0,Fibroblast
cell_244818,G1-G0 transition,Fibroblast
cell_246116,G0,Fibroblast
cell_248247,S,Fibroblast
cell_250608,G1,Fibroblast
cell_252870,G1-G0 transition,Fibroblast
cell_255062,G0,Fibroblast
cell_255411,G1,Fibroblast
cell_255794,G0,Fibroblast
cell_258994,G1,Fibroblast
cell_260192,G1,Fibroblast
cell_260541,G1,Fibroblast
cell_265158,G1,Fibroblast
cell_267756,G0,Fibroblast
cell_270679,G1,Fibroblast
cell_270866,G1-G0 transition,Fibroblast
cell_271944,G1,Fibroblast
cell_278074,G0,Fibroblast
cell_278880,G0,Fibroblast
cell_281760,S,Fibroblast
cell_283401,G1,Fibroblast
cell_283455,S,Fibroblast
cell_285628,G0,Fibroblast
cell_285982,G1-G0 transition,Fibroblast
cell_287006,S,Fibroblast
cell_287372,G0,Fibroblast
cell_290940,S,Fibroblast
cell_291624,G0,Fibroblast
cell_292301,G1,Fibroblast
cell_293309,G1-G0 transition,Fibroblast
cell_293599,G0,Fibroblast
cell_296107,G0,Fibroblast
cell_297715,S,Fibroblast
cell_298411,S,Fibroblast
cell_301451,G2M,Fibroblast
cell_303285,G1-G0 transition,Fibroblast
cell_304770,G0,Fibroblast
cell_305874,G0,Fibroblast
cell_306322,S,Fibroblast
cell_306790,G2M,Fibroblast
cell_308272,G0,Fibroblast
cell_309583,G0,Fibroblast
cell_310997,G0,Fibroblast
cell_311707,G0,Fibroblast
cell_312146,G0,Fibroblast
cell_312464,G2M,Fibroblast
cell_313602,G1,Fibroblast
cell_313683,S,Fibroblast
cell_315614,G0,Fibroblast
cell_315874,G0,Fibroblast
cell_316427,G0,Fibroblast
cell_316683,G1-G0 transition,Fibroblast
cell_317625,G0,Fibroblast
cell_317885,G0,Fibroblast
cell_318822,G1-G0 transition,Fibroblast
cell_319645,G1-G0 transition,Fibroblast
cell_321206,S,Fibroblast
cell_326015,G1,Fibroblast
cell_326864,G1,Fibroblast
cell_328211,G1,Fibroblast
cell_329731,G0,Fibroblast
cell_331796,G1,Fibroblast
cell_333886,G1,Fibroblast
cell_334293,S,Fibroblast
cell_334836,G1-G0 transition,Fibroblast
cell_335420,S,Fibroblast
cell_335632,G0,Fibroblast
cell_338900,G0,Fibroblast
cell_339206,G1-G0 transition,Fibroblast
cell_339338,G1-G0 transition,Fibroblast
cell_342137,S,Fibroblast
cell_343111,S,Fibroblast
cell_344551,G1-G0 transition,Fibroblast
cell_344974,G2M,Fibroblast
cell_345190,G1-G0 transition,Fibroblast
cell_346746,G0,Fibroblast
cell_350716,G1,Fibroblast
cell_353204,S,Fibroblast
cell_358341,G0,Fibroblast
cell_358408,S,Fibroblast
cell_363060,G0,Fibroblast
cell_363855,S,Fibroblast
cell_364209,S,Fibroblast
cell_365226,S,Fibroblast
cell_366424,G1,Fibroblast
cell_366566,G0,Fibroblast
cell_368916,S,Fibroblast
cell_369626,G0,Fibroblast
cell_369863,G0,Fibroblast
cell_371395,G0,Fibroblast
cell_372668,G0,Fibroblast
cell_373792,S,Fibroblast
cell_376590,G1,Fibroblast
cell_377051,G1,Fibroblast
cell_377412,S,Fibroblast
cell_378791,G0,Fibroblast
cell_379162,G1-G0 transition,Fibroblast
cell_386238,G1,Fibroblast
cell_391537,G0,Fibroblast
cell_392284,G0,Fibroblast
cell_392617,G1,Fibroblast
cell_393517,G0,Fibroblast
cell_396749,G0,Fibroblast
cell_398082,G0,Fibroblast
cell_399698,G1,Fibroblast
cell_403800,G1-G0 transition,Fibroblast
cell_403946,G0,Fibroblast
cell_405123,G0,Fibroblast
cell_407198,G0,Fibroblast
cell_407682,S,Fibroblast
cell_408874,G1-G0 transition,Fibroblast
cell_414818,G0,Fibroblast
cell_416852,G1,Fibroblast
cell_417495,G0,Fibroblast
cell_417972,S,Fibroblast
cell_419747,S,Fibroblast
cell_420972,G2M,Fibroblast
cell_423188,G1-G0 transition,Fibroblast
cell_431439,G0,Fibroblast
cell_432268,G1-G0 transition,Fibroblast
cell_432892,G1,Fibroblast
cell_433126,G1-G0 transition,Fibroblast
cell_433981,G1,Fibroblast
cell_434182,G1-G0 transition,Fibroblast
cell_434801,G1,Fibroblast
cell_437841,G1,Fibroblast
cell_438744,G1-G0 transition,Fibroblast
cell_442618,G1-G0 transition,Fibroblast
cell_446542,G1,Fibroblast
cell_447269,S,Fibroblast
cell_450391,G0,Fibroblast
cell_450427,S,Fibroblast
cell_455033,S,Fibroblast
cell_455368,S,Fibroblast
cell_455689,G0,Fibroblast
cell_457116,G0,Fibroblast
cell_457496,G2M,Fibroblast
cell_458310,G1-G0 transition,Fibroblast
cell_458450,G1,Fibroblast
cell_458888,G2M,Fibroblast
cell_459094,G1-G0 transition,Fibroblast
cell_459096,G1-G0 transition,Fibroblast
cell_462275,G1,Fibroblast
cell_462549,S,Fibroblast
cell_463004,G0,Fibroblast
cell_465032,S,Fibroblast
cell_470704,G1,Fibroblast
cell_471382,S,Fibroblast
cell_471394,G1-G0 transition,Fibroblast
cell_475994,G1,Fibroblast
cell_479324,G2M,Fibroblast
cell_479498,G1-G0 transition,Fibroblast
cell_480387,G0,Fibroblast
cell_482294,S,Fibroblast
cell_482884,G0,Fibroblast
cell_486264,G0,Fibroblast
cell_486426,S,Fibroblast
cell_487964,G0,Fibroblast
cell_488795,G0,Fibroblast
cell_494764,G0,Fibroblast
cell_498856,G2M,Fibroblast
cell_500363,G0,Fibroblast
cell_503481,S,Fibroblast
cell_504413,G0,Fibroblast
cell_506473,G0,Fibroblast
cell_506928,S,Fibroblast
cell_507408,G0,Fibroblast
cell_509765,G0,Fibroblast
cell_510150,S,Fibroblast
cell_512486,G1-G0 transition,Fibroblast
cell_512702,G1,Fibroblast
cell_514029,G0,Fibroblast
cell_516901,S,Fibroblast
cell_519372,G1,Fibroblast
cell_519419,G1,Fibroblast
cell_519534,G0,Fibroblast
cell_520906,G1,Fibroblast
cell_521045,G1-G0 transition,Fibroblast
cell_522567,S,Fibroblast
cell_522762,G1-G0 transition,Fibroblast
cell_522983,G1,Fibroblast
cell_526887,S,Fibroblast
cell_530176,G0,Fibroblast
cell_532059,S,Fibroblast
cell_532818,G0,Fibroblast
cell_533460,G2M,Fibroblast
cell_533673,S,Fibroblast
cell_534628,G1,Fibroblast
cell_535488,S,Fibroblast
cell_535996,G1-G0 transition,Fibroblast
cell_539991,G1-G0 transition,Fibroblast
cell_540606,G1-G0 transition,Fibroblast
cell_541218,G0,Fibroblast
cell_544290,G1-G0 transition,Fibroblast
cell_545724,S,Fibroblast
cell_546283,G0,Fibroblast
cell_546425,G1,Fibroblast
cell_547343,G1,Fibroblast
cell_547936,S,Fibroblast
cell_548788,G1-G0 transition,Fibroblast
cell_552164,S,Fibroblast
cell_555222,G0,Fibroblast
cell_555606,G0,Fibroblast
cell_556314,G0,Fibroblast
cell_558890,G0,Fibroblast
cell_562697,G1,Fibroblast
cell_567710,S,Fibroblast
cell_571055,G0,Fibroblast
cell_572193,G0,Fibroblast
cell_573628,G1,Fibroblast
cell_573674,G1-G0 transition,Fibroblast
cell_574382,G1,Fibroblast
cell_577299,S,Fibroblast
cell_578092,S,Fibroblast
cell_580049,S,Fibroblast
cell_581528,G1,Fibroblast
cell_583598,G0,Fibroblast
cell_583618,G1,Fibroblast
cell_585193,G1,Fibroblast
cell_589956,G1,Fibroblast
cell_590234,G1,Fibroblast
cell_593956,G0,Fibroblast
cell_594471,G0,Fibroblast
cell_596793,G0,Fibroblast
cell_597030,S,Fibroblast
cell_597781,G1,Fibroblast
cell_599498,G0,Fibroblast
cell_601827,G1-G0 transition,Fibroblast
cell_603058,S,Fibroblast
cell_603961,S,Fibroblast
cell_604716,G0,Fibroblast
cell_605091,S,Fibroblast
cell_608294,G1-G0 transition,Fibroblast
cell_613213,G0,Fibroblast
cell_613270,G0,Fibroblast
cell_614963,G0,Fibroblast
cell_615069,G0,Fibroblast
cell_618409,G1-G0 transition,Fibroblast
cell_621989,G1,Fibroblast
cell_622162,G0,Fibroblast
cell_623174,G0,Fibroblast
cell_623794,G0,Fibroblast
cell_624913,G2M,Fibroblast
cell_629762,S,Fibroblast
cell_637236,G1,Fibroblast
cell_638234,S,Fibroblast
cell_638516,G0,Fibroblast
cell_638713,G0,Fibroblast
cell_639461,G1,Fibroblast
cell_640349,G0,Fibroblast
cell_640966,G0,Fibroblast
cell_643047,G0,Fibroblast
cell_646249,G1,Fibroblast
cell_646602,S,Fibroblast
cell_647350,G0,Fibroblast
cell_649009,S,Fibroblast
cell_651117,G1,Fibroblast
cell_652315,G2M,Fibroblast
cell_652510,G1,Fibroblast
cell_652969,S,Fibroblast
cell_656517,S,Fibroblast
cell_658364,G1,Fibroblast
cell_658964,G0,Fibroblast
cell_659326,G2M,Fibroblast
cell_660979,G1,Fibroblast
cell_662188,G0,Fibroblast
cell_662926,G1,Fibroblast
cell_663308,G1,Fibroblast
cell_664830,G0,Fibroblast
cell_665057,G0,Fibroblast
cell_665063,G0,Fibroblast
cell_665175,G1,Fibroblast
cell_665185,G0,Fibroblast
cell_665529,S,Fibroblast
cell_667633,G0,Fibroblast
cell_668890,G0,Fibroblast
cell_669310,G1-G0 transition,Fibroblast
cell_671270,G0,Fibroblast
cell_673660,G2M,Fibroblast
cell_674669,G1-G0 transition,Fibroblast
cell_675228,G0,Fibroblast
cell_675471,G1-G0 transition,Fibroblast
cell_677088,S,Fibroblast
cell_677245,S,Fibroblast
cell_678432,G2M,Fibroblast
cell_678542,G0,Fibroblast
cell_679231,G1-G0 transition,Fibroblast
cell_679927,G1-G0 transition,Fibroblast
cell_680676,G0,Fibroblast
cell_681991,S,Fibroblast
cell_683286,G2M,Fibroblast
cell_683571,S,Fibroblast
cell_684392,G2M,Fibroblast
cell_684892,G1,Fibroblast
cell_685483,G0,Fibroblast
cell_686416,S,Fibroblast
cell_696688,G1-G0 transition,Fibroblast
cell_697004,S,Fibroblast
cell_697670,G2M,Fibroblast
cell_700525,G1-G0 transition,Fibroblast
cell_701227,G1-G0 transition,Fibroblast
cell_706666,G1,Fibroblast
cell_709279,G1-G0 transition,Fibroblast
cell_710723,G1,Fibroblast
cell_712394,G0,Fibroblast
cell_714094,G1,Fibroblast
cell_717083,G1-G0 transition,Fibroblast
cell_718660,S,Fibroblast
cell_720048,G2M,Fibroblast
cell_721120,G0,Fibroblast
cell_722488,G1-G0 transition,Fibroblast
cell_725326,S,Fibroblast
cell_725373,S,Fibroblast
cell_731154,G1,Fibroblast
cell_734593,G0,Fibroblast
cell_734834,G0,Fibroblast
cell_735523,S,Fibroblast
cell_735703,S,Fibroblast
cell_737198,S,Fibroblast
cell_737261,G2M,Fibroblast
cell_737526,G0,Fibroblast
cell_740990,G1,Fibroblast
cell_744855,G1-G0 transition,Fibroblast
cell_745073,G1,Fibroblast
cell_745125,G0,Fibroblast
cell_745294,S,Fibroblast
cell_745373,S,Fibroblast
cell_751522,G0,Fibroblast
cell_755425,G0,Fibroblast
cell_755630,G1-G0 transition,Fibroblast
cell_757500,S,Fibroblast
cell_757670,G1-G0 transition,Fibroblast
cell_761706,S,Fibroblast
cell_762939,G0,Fibroblast
cell_764512,G0,Fibroblast
cell_764865,G1,Fibroblast
cell_773141,G1,Fibroblast
cell_774861,S,Fibroblast
cell_775518,G1,Fibroblast
cell_777085,G1-G0 transition,Fibroblast
cell_779534,G0,Fibroblast
cell_783698,G1-G0 transition,Fibroblast
cell_786150,S,Fibroblast
cell_786906,G1,Fibroblast
cell_787883,G0,Fibroblast
cell_787889,G1-G0 transition,Fibroblast
cell_789395,G2M,Fibroblast
cell_789397,S,Fibroblast
cell_791535,G0,Fibroblast
cell_791600,G0,Fibroblast
cell_794574,S,Fibroblast
cell_794745,S,Fibroblast
cell_794945,G1-G0 transition,Fibroblast
cell_795648,G0,Fibroblast
cell_796711,G0,Fibroblast
cell_799465,G0,Fibroblast
cell_799690,G1,Fibroblast
cell_800728,G1-G0 transition,Fibroblast
cell_802784,G1-G0 transition,Fibroblast
cell_803467,G0,Fibroblast
cell_806454,G0,Fibroblast
cell_807605,G0,Fibroblast
cell_809937,G0,Fibroblast
cell_810171,G0,Fibroblast
cell_810932,G2M,Fibroblast
cell_811109,G1-G0 transition,Fibroblast
cell_817038,G1-G0 transition,Fibroblast
cell_817365,G1,Fibroblast
cell_819744,G1-G0 transition,Fibroblast
cell_820569,G2M,Fibroblast
cell_821420,G0,Fibroblast
cell_822791,G2M,Fibroblast
cell_824731,G1-G0 transition,Fibroblast
cell_826510,G1,Fibroblast
cell_829500,G0,Fibroblast
cell_829506,G1-G0 transition,Fibroblast
cell_829813,G0,Fibroblast
cell_830020,G1-G0 transition,Fibroblast
cell_831392,G1,Fibroblast
cell_837522,G2M,Fibroblast
cell_837717,G1-G0 transition,Fibroblast
cell_838099,S,Fibroblast
cell_838169,S,Fibroblast
cell_839194,G1-G0 transition,Fibroblast
cell_839800,S,Fibroblast
cell_840685,G0,Fibroblast
cell_840786,G0,Fibroblast
cell_843028,G0,Fibroblast
cell_844134,G1,Fibroblast
cell_845959,G2M,Fibroblast
cell_846422,G1-G0 transition,Fibroblast
cell_846812,S,Fibroblast
cell_847734,G1,Fibroblast
cell_848039,G0,Fibroblast
cell_849495,G0,Fibroblast
cell_852203,G1-G0 transition,Fibroblast
cell_852569,G1,Fibroblast
cell_852845,G0,Fibroblast
cell_853225,G1,Fibroblast
cell_853858,G1,Fibroblast
cell_854345,G0,Fibroblast
cell_856252,G1-G0 transition,Fibroblast
cell_857738,S,Fibroblast
cell_857754,G1-G0 transition,Fibroblast
cell_860905,G1,Fibroblast
cell_862304,G0,Fibroblast
cell_864510,G0,Fibroblast
cell_866344,S,Fibroblast
cell_866841,G1-G0 transition,Fibroblast
cell_868924,G1-G0 transition,Fibroblast
cell_872560,G2M,Fibroblast
cell_873831,S,Fibroblast
cell_874825,G0,Fibroblast
cell_879784,G0,Fibroblast
cell_880583,G0,Fibroblast
cell_881624,G0,Fibroblast
cell_883699,G1-G0 transition,Fibroblast
cell_884530,S,Fibroblast
cell_884602,G2M,Fibroblast
cell_884680,G1,Fibroblast
cell_887027,G1-G0 transition,Fibroblast
cell_887245,G1-G0 transition,Fibroblast
cell_887854,G1-G0 transition,Fibroblast
cell_888452,G1,Fibroblast
cell_888479,G0,Fibroblast
cell_891892,G1-G0 transition,Fibroblast
cell_892421,S,Fibroblast
cell_892789,G1,Fibroblast
cell_893660,S,Fibroblast
cell_895155,S,Fibroblast
cell_896018,G2M,Fibroblast
cell_896464,S,Fibroblast
cell_897493,G1-G0 transition,Fibroblast
cell_898837,G0,Fibroblast
cell_899175,G0,Fibroblast
cell_899863,G0,Fibroblast
cell_902185,S,Fibroblast
cell_903254,S,Fibroblast
cell_903683,G1,Fibroblast
cell_904306,G1-G0 transition,Fibroblast
cell_906657,S,Fibroblast
cell_906665,G0,Fibroblast
cell_910034,G2M,Fibroblast
cell_910578,G0,Fibroblast
cell_912415,G1-G0 transition,Fibroblast
cell_914202,G1-G0 transition,Fibroblast
cell_916157,G1,Fibroblast
cell_918230,G1,Fibroblast
cell_922643,G2M,Fibroblast
cell_922808,S,Fibroblast
cell_923519,G1-G0 transition,Fibroblast
cell_942097,G2M,Fibroblast
cell_942751,G0,Fibroblast
cell_942935,G0,Fibroblast
cell_943625,G0,Fibroblast
cell_944198,G0,Fibroblast
cell_945141,G1,Fibroblast
cell_945665,G0,Fibroblast
cell_947587,G0,Fibroblast
cell_947620,S,Fibroblast
cell_948196,G0,Fibroblast
cell_951514,G2M,Fibroblast
cell_954595,S,Fibroblast
cell_961461,G1-G0 transition,Fibroblast
cell_962997,G0,Fibroblast
cell_963717,G1,Fibroblast
cell_965770,G0,Fibroblast
cell_966474,G0,Fibroblast
cell_967502,G2M,Fibroblast
cell_967765,G0,Fibroblast
cell_968832,G1,Fibroblast
cell_969502,S,Fibroblast
cell_971026,G0,Fibroblast
cell_973095,G1,Fibroblast
cell_975592,S,Fibroblast
cell_978934,G1,Fibroblast
cell_980680,G2M,Fibroblast
cell_980939,G1-G0 transition,Fibroblast
cell_985402,S,Fibroblast
cell_986889,S,Fibroblast
cell_987195,G1,Fibroblast
cell_988081,G0,Fibroblast
cell_989150,G0,Fibroblast
cell_989438,G0,Fibroblast
cell_990170,G1-G0 transition,Fibroblast
cell_992872,G1-G0 transition,Fibroblast
cell_993197,G1-G0 transition,Fibroblast
cell_993681,G2M,Fibroblast
cell_993952,G1-G0 transition,Fibroblast
cell_994638,S,Fibroblast
cell_995438,S,Fibroblast
cell_997636,G1-G0 transition,Fibroblast
cell_998646,S,Fibroblast
cell_998932,G1-G0 transition,Fibroblast
cell_1001207,G0,Fibroblast
cell_1001544,G0,Fibroblast
cell_1003166,G2M,Fibroblast
cell_1003404,G1,Fibroblast
cell_1003700,G1,Fibroblast
cell_1004644,G0,Fibroblast
cell_1006183,G2M,Fibroblast
cell_1007082,G1,Fibroblast
cell_1008618,G1-G0 transition,Fibroblast
cell_1009549,G0,Fibroblast
cell_1012443,G2M,Fibroblast
cell_1012831,G0,Fibroblast
cell_1013143,G1-G0 transition,Fibroblast
cell_1013623,G0,Fibroblast
cell_1014244,S,Fibroblast
cell_1015874,G0,Fibroblast
cell_1018261,G0,Fibroblast
cell_1020882,G1-G0 transition,Fibroblast
cell_1021996,G2M,Fibroblast
cell_1023957,G1,Fibroblast
cell_1024127,G0,Fibroblast
cell_1025997,G1-G0 transition,Fibroblast
cell_1027526,S,Fibroblast
cell_1028524,G0,Fibroblast
cell_1031903,G0,Fibroblast
cell_1033284,G2M,Fibroblast
cell_1034012,G1,Fibroblast
cell_1038846,G1,Fibroblast
cell_1040018,G0,Fibroblast
cell_1040320,G1,Fibroblast
cell_1045385,G0,Fibroblast
cell_1046951,G1,Fibroblast
cell_1050204,G2M,Fibroblast
cell_1050290,G0,Fibroblast
cell_1051211,G0,Fibroblast
cell_1053022,G1-G0 transition,Fibroblast
cell_1053227,G0,Fibroblast
cell_1053711,S,Fibroblast
cell_1056845,G2M,Fibroblast
cell_1059276,G1-G0 transition,Fibroblast
cell_1060413,G0,Fibroblast
cell_1061553,G1,Fibroblast
cell_1064527,G0,Fibroblast
cell_1064924,S,Fibroblast
cell_1068977,G2M,Fibroblast
cell_1072010,G0,Fibroblast
cell_1072083,G0,Fibroblast
cell_1072465,S,Fibroblast
cell_1075901,S,Fibroblast
cell_1078487,S,Fibroblast
cell_1079345,S,Fibroblast
cell_1082793,G1-G0 transition,Fibroblast
cell_1083258,G1,Fibroblast
cell_1083278,G1-G0 transition,Fibroblast
cell_1084313,G1,Fibroblast
cell_1084869,G2M,Fibroblast
cell_1091087,G0,Fibroblast
cell_1092760,G1-G0 transition,Fibroblast
cell_1092763,G0,Fibroblast
cell_1094154,G1-G0 transition,Fibroblast
cell_1099208,G1-G0 transition,Fibroblast
cell_1099530,G0,Fibroblast
cell_1100455,G1,Fibroblast
cell_1100615,G0,Fibroblast
cell_1101666,G1,Fibroblast
cell_1102182,G1,Fibroblast
cell_1102897,G0,Fibroblast
cell_1104332,G0,Fibroblast
cell_1106401,G1,Fibroblast
cell_1108503,G1-G0 transition,Fibroblast
cell_1110113,S,Fibroblast
cell_1111240,G1-G0 transition,Fibroblast
cell_1112860,S,Fibroblast
cell_1113449,G1-G0 transition,Fibroblast
cell_1113713,G0,Fibroblast
cell_1116123,S,Fibroblast
cell_1117291,S,Fibroblast
cell_1119893,G0,Fibroblast
