,Gene_stable_ID,human_genes,mouse_genes,Mouse_gene_stable_ID
14341,ENSG00000103047,TANGO6,Tango6,ENSMUSG00000041949
14359,ENSG00000182022,CHST15,Chst15,ENSMUSG00000030930
14360,ENSG00000135447,PPP1R1A,Ppp1r1a,ENSMUSG00000022490
14362,ENSG00000100802,C14orf93,4931414P19Rik,ENSMUSG00000022179
14363,ENSG00000113319,RASGRF2,Rasgrf2,ENSMUSG00000021708
14364,ENSG00000123159,GIPC1,Gipc1,ENSMUSG00000019433
14365,ENSG00000005302,MSL3,Msl3l2,ENSMUSG00000047669
14376,ENSG00000148344,PTGES,Ptges,ENSMUSG00000050737
14377,ENSG00000139173,TMEM117,Tmem117,ENSMUSG00000063296
14391,ENSG00000152910,CNTNAP4,Cntnap4,ENSMUSG00000031772
14395,ENSG00000136828,RALGPS1,Ralgps1,ENSMUSG00000038831
14396,ENSG00000164037,SLC9B1,Slc9b1,ENSMUSG00000050150
14402,ENSG00000182551,ADI1,Adi1,ENSMUSG00000020629
14419,ENSG00000257987,SPMIP11,Tex49,ENSMUSG00000022993
14428,ENSG00000170293,CMTM8,Cmtm8,ENSMUSG00000041012
14431,ENSG00000138162,TACC2,Tacc2,ENSMUSG00000030852
14436,ENSG00000276023,DUSP14,Dusp14,ENSMUSG00000018648
14438,ENSG00000151229,SLC2A13,Slc2a13,ENSMUSG00000036298
14449,ENSG00000100263,RHBDD3,Rhbdd3,ENSMUSG00000034175
14454,ENSG00000127529,OR7C2,Or7c70,ENSMUSG00000051190
14455,ENSG00000169330,MINAR1,Minar1,ENSMUSG00000039313
14456,ENSG00000005156,LIG3,Lig3,ENSMUSG00000020697
14457,ENSG00000186115,CYP4F2,Cyp4f40,ENSMUSG00000090700
14458,ENSG00000186115,CYP4F2,Cyp4f14,ENSMUSG00000024292
14459,ENSG00000186115,CYP4F2,Cyp4f15,ENSMUSG00000073424
14461,ENSG00000154783,FGD5,Fgd5,ENSMUSG00000034037
14463,ENSG00000112773,TENT5A,Tent5a,ENSMUSG00000032265
14469,ENSG00000181991,MRPS11,Mrps11,ENSMUSG00000030611
14479,ENSG00000112276,BVES,Bves,ENSMUSG00000071317
14480,ENSG00000180116,C12orf40,CN725425,ENSMUSG00000078932
14483,ENSG00000100276,RASL10A,Rasl10a,ENSMUSG00000034209
14497,ENSG00000239127,SNORD125,Gm24958,ENSMUSG00000088634
14510,ENSG00000100285,NEFH,Nefh,ENSMUSG00000020396
14515,ENSG00000172554,SNTG2,Sntg2,ENSMUSG00000020672
14517,ENSG00000100296,THOC5,Thoc5,ENSMUSG00000034274
14519,ENSG00000166831,RBPMS2,Rbpms2,ENSMUSG00000032387
14528,ENSG00000203778,FAM229B,Fam229b,ENSMUSG00000051736
14529,ENSG00000197860,SGTB,Sgtb,ENSMUSG00000042743
14537,ENSG00000100804,PSMB5,Psmb5,ENSMUSG00000022193
14545,ENSG00000111371,SLC38A1,Slc38a1,ENSMUSG00000023169
14546,ENSG00000111879,FAM184A,Fam184a,ENSMUSG00000019856
14547,ENSG00000166173,LARP6,Larp6,ENSMUSG00000034839
14548,ENSG00000196814,MVB12B,Mvb12b,ENSMUSG00000038740
14560,ENSG00000088682,COQ9,Coq9,ENSMUSG00000031782
14563,ENSG00000113384,GOLPH3,Golph3,ENSMUSG00000022200
14567,ENSG00000135220,UGT2A3,Ugt2a3,ENSMUSG00000035780
14571,ENSG00000222028,PSMB11,Psmb11,ENSMUSG00000072423
14579,ENSG00000179933,C14orf119,1700123O20Rik,ENSMUSG00000040822
14586,ENSG00000069667,RORA,Rora,ENSMUSG00000032238
14587,ENSG00000283654,CIROP,Cirop,ENSMUSG00000114865
14591,ENSG00000189127,ANKRD34B,Ankrd34b,ENSMUSG00000045034
14593,ENSG00000104313,EYA1,Eya1,ENSMUSG00000025932
14597,ENSG00000235194,PPP1R3E,Ppp1r3e,ENSMUSG00000072494
14598,ENSG00000050730,TNIP3,Tnip3,ENSMUSG00000044162
14602,ENSG00000182752,PAPPA,Pappa,ENSMUSG00000028370
14608,ENSG00000171865,RNASEH1,Rnaseh1,ENSMUSG00000020630
14613,ENSG00000169067,ACTBL2,Actbl2,ENSMUSG00000055194
14615,ENSG00000112874,NUDT12,Nudt12,ENSMUSG00000024228
14617,ENSG00000100842,EFS,Efs,ENSMUSG00000022203
14630,ENSG00000185585,OLFML2A,Olfml2a,ENSMUSG00000046618
14634,ENSG00000062194,GPBP1,Gpbp1,ENSMUSG00000032745
14635,ENSG00000141738,GRB7,Grb7,ENSMUSG00000019312
14642,ENSG00000166091,CMTM5,Cmtm5,ENSMUSG00000040759
14646,ENSG00000070761,CFAP20,Cfap20,ENSMUSG00000031796
14656,ENSG00000166634,SERPINB12,Serpinb12,ENSMUSG00000059956
14663,ENSG00000151353,TMEM18,Tmem18,ENSMUSG00000043061
14675,ENSG00000198168,SVIP,Svip,ENSMUSG00000074093
14683,ENSG00000170681,CAVIN4,Cavin4,ENSMUSG00000028348
14691,ENSG00000138802,SEC24B,Sec24b,ENSMUSG00000001052
14693,ENSG00000131153,GINS2,Gins2,ENSMUSG00000031821
14694,ENSG00000171451,DSEL,Dsel,ENSMUSG00000038702
14713,ENSG00000170946,DNAJC24,Dnajc24,ENSMUSG00000027166
14716,ENSG00000136928,GABBR2,Gabbr2,ENSMUSG00000039809
14717,ENSG00000141391,PRELID3A,Prelid3a,ENSMUSG00000024530
14718,ENSG00000005020,SKAP2,Skap2,ENSMUSG00000059182
14721,ENSG00000171863,RPS7,Rps7,ENSMUSG00000061477
14724,ENSG00000186113,OR5D14,Or5d14,ENSMUSG00000075139
14725,ENSG00000186113,OR5D14,Or5d36,ENSMUSG00000075137
14734,ENSG00000135736,CCDC102A,Ccdc102a,ENSMUSG00000063605
14739,ENSG00000205213,LGR4,Lgr4,ENSMUSG00000050199
14747,ENSG00000186047,DLEU7,Dleu7,ENSMUSG00000048281
14749,ENSG00000180530,NRIP1,Nrip1,ENSMUSG00000048490
14750,ENSG00000259431,THTPA,Thtpa,ENSMUSG00000045691
14768,ENSG00000159200,RCAN1,Rcan1,ENSMUSG00000022951
14774,ENSG00000213983,AP1G2,Ap1g2,ENSMUSG00000040701
14775,ENSG00000160951,PTGER1,Ptger1,ENSMUSG00000019464
14791,ENSG00000074603,DPP8,Dpp8,ENSMUSG00000032393
14795,ENSG00000122490,SLC66A2,Slc66a2,ENSMUSG00000034006
14796,ENSG00000151379,MSGN1,Msgn1,ENSMUSG00000047002
14797,ENSG00000105135,ILVBL,Ilvbl,ENSMUSG00000032763
14806,ENSG00000144455,SUMF1,Sumf1,ENSMUSG00000030101
14811,ENSG00000163029,SMC6,Smc6,ENSMUSG00000020608
14824,ENSG00000186509,OR9Q1,Or9q1,ENSMUSG00000054526
14827,ENSG00000279514,OR4C16,Or4c104,ENSMUSG00000089892
14828,ENSG00000279514,OR4C16,Or4c29,ENSMUSG00000075113
14829,ENSG00000279514,OR4C16,Or4c103,ENSMUSG00000075121
14845,ENSG00000222581,RNU2-47P,Gm23260,ENSMUSG00000088942
14849,ENSG00000207433,RNU6-246P,Gm26465,ENSMUSG00000119738
14850,ENSG00000207433,RNU6-246P,Gm23520,ENSMUSG00000119681
14857,ENSG00000176692,FOXC2,Foxc2,ENSMUSG00000046714
14861,ENSG00000207360,RNU6-14P,Gm23298,ENSMUSG00000119334
14863,ENSG00000184117,NIPSNAP1,Nipsnap1,ENSMUSG00000034285
14868,ENSG00000223088,RMRPP5,Rmrp,ENSMUSG00000088088
14875,ENSG00000166326,TRIM44,Trim44,ENSMUSG00000027189
14893,ENSG00000050820,BCAR1,Bcar1,ENSMUSG00000031955
14917,ENSG00000187546,AGMO,Agmo,ENSMUSG00000050103
14923,ENSG00000251776,RN7SKP242,Gm55403,ENSMUSG00002075529
14931,ENSG00000222293,RNU2-36P,Gm24763,ENSMUSG00000065622
14934,ENSG00000110048,OSBP,Osbp,ENSMUSG00000024687
14938,ENSG00000278540,ACACA,Acaca,ENSMUSG00000020532
14949,ENSG00000134755,DSC2,Dsc2,ENSMUSG00000024331
14952,ENSG00000238882,RNU6-329P,Gm22127,ENSMUSG00000065173
14960,ENSG00000222558,RNU6-1064P,Gm23975,ENSMUSG00000064619
14988,ENSG00000207726,MIR455,Mir455,ENSMUSG00000070102
14990,ENSG00000207737,MIR181B2,Mir181b-2,ENSMUSG00000065578
15008,ENSG00000009844,VTA1,Vta1,ENSMUSG00000019868
15009,ENSG00000100314,CABP7,Cabp7,ENSMUSG00000009075
15012,ENSG00000171189,GRIK1,Grik1,ENSMUSG00000022935
15021,ENSG00000136856,SLC2A8,Slc2a8,ENSMUSG00000026791
15025,ENSG00000100319,ZMAT5,Zmat5,ENSMUSG00000009076
15030,ENSG00000182348,ZNF804B,Zfp804b,ENSMUSG00000092094
15035,ENSG00000113318,MSH3,Msh3,ENSMUSG00000014850
15036,ENSG00000136160,EDNRB,Ednrb,ENSMUSG00000022122
15038,ENSG00000172772,OR10W1,Or10w1,ENSMUSG00000061387
15039,ENSG00000172772,OR10W1,Or10w3,ENSMUSG00000109520
15043,ENSG00000184076,UQCR10,Uqcr10,ENSMUSG00000059534
15049,ENSG00000186526,CYP4F8,Cyp4f17,ENSMUSG00000091586
15050,ENSG00000186526,CYP4F8,Cyp4f13,ENSMUSG00000024055
15051,ENSG00000186526,CYP4F8,Cyp4f37,ENSMUSG00000062464
15052,ENSG00000186526,CYP4F8,Cyp4f16,ENSMUSG00000048440
15066,ENSG00000239282,CASTOR1,Castor1,ENSMUSG00000020424
15069,ENSG00000178425,NT5DC1,Nt5dc1,ENSMUSG00000039480
15088,ENSG00000135362,PRR5L,Prr5l,ENSMUSG00000032841
15089,ENSG00000075213,SEMA3A,Sema3a,ENSMUSG00000028883
15090,ENSG00000144642,RBMS3,Rbms3,ENSMUSG00000039607
15095,ENSG00000153292,ADGRF1,Adgrf1,ENSMUSG00000041293
15096,ENSG00000138674,SEC31A,Sec31a,ENSMUSG00000035325
15112,ENSG00000161031,PGLYRP2,Pglyrp2,ENSMUSG00000079563
15121,ENSG00000205078,SYCE1L,Syce1l,ENSMUSG00000033409
15135,ENSG00000139737,SLAIN1,Slain1,ENSMUSG00000055717
15139,ENSG00000110442,COMMD9,Commd9,ENSMUSG00000027163
15153,ENSG00000196715,VKORC1L1,Vkorc1l1,ENSMUSG00000066735
15154,ENSG00000198551,ZNF627,Zfp872,ENSMUSG00000074472
15163,ENSG00000206418,RAB12,Rab12,ENSMUSG00000023460
15169,ENSG00000131149,GSE1,Gse1,ENSMUSG00000031822
15172,ENSG00000134294,SLC38A2,Slc38a2,ENSMUSG00000022462
15176,ENSG00000142192,APP,App,ENSMUSG00000022892
15177,ENSG00000066926,FECH,Fech,ENSMUSG00000024588
15182,ENSG00000099992,TBC1D10A,Tbc1d10a,ENSMUSG00000034412
15189,ENSG00000162981,LRATD1,Lratd1,ENSMUSG00000020607
15192,ENSG00000106605,BLVRA,Blvra,ENSMUSG00000001999
15196,ENSG00000186660,ZFP91,Zfp91,ENSMUSG00000024695
15200,ENSG00000151693,ASAP2,Asap2,ENSMUSG00000052632
15201,ENSG00000066651,TRMT11,Trmt11,ENSMUSG00000019792
15207,ENSG00000185290,NUPR2,Nupr1l,ENSMUSG00000095789
15221,ENSG00000149124,GLYAT,Glyat,ENSMUSG00000063683
15244,ENSG00000157259,GATAD1,Gatad1,ENSMUSG00000007415
15245,ENSG00000198862,LTN1,Ltn1,ENSMUSG00000052299
15268,ENSG00000141977,CIB3,Cib3,ENSMUSG00000074240
15271,ENSG00000154978,VOPP1,Vopp1,ENSMUSG00000037788
15278,ENSG00000156218,ADAMTSL3,Adamtsl3,ENSMUSG00000070469
15281,ENSG00000133116,KL,Kl,ENSMUSG00000058488
15282,ENSG00000185238,PRMT3,Prmt3,ENSMUSG00000030505
15286,ENSG00000164299,SPZ1,Spz1,ENSMUSG00000046957
15287,ENSG00000133121,STARD13,Stard13,ENSMUSG00000016128
15288,ENSG00000134508,CABLES1,Cables1,ENSMUSG00000040957
15289,ENSG00000099330,OCEL1,Ocel1,ENSMUSG00000002396
15291,ENSG00000147570,DNAJC5B,Dnajc5b,ENSMUSG00000027606
15297,ENSG00000134061,CD180,Cd180,ENSMUSG00000021624
15298,ENSG00000197958,RPL12,Rpl12,ENSMUSG00000038900
15311,ENSG00000196664,TLR7,Tlr7,ENSMUSG00000044583
15314,ENSG00000168685,IL7R,Il7r,ENSMUSG00000003882
15321,ENSG00000169006,NTSR2,Ntsr2,ENSMUSG00000020591
15328,ENSG00000099995,SF3A1,Sf3a1,ENSMUSG00000002129
15333,ENSG00000172940,SLC22A13,Slc22a13,ENSMUSG00000074028
15334,ENSG00000172940,SLC22A13,Slc22a13b,ENSMUSG00000092212
15339,ENSG00000112339,HBS1L,Hbs1l,ENSMUSG00000019977
15344,ENSG00000156471,PTDSS1,Ptdss1,ENSMUSG00000021518
15347,ENSG00000157326,DHRS4,Dhrs4,ENSMUSG00000022210
15358,ENSG00000175928,LRRN1,Lrrn1,ENSMUSG00000034648
15398,ENSG00000142611,PRDM16,Prdm16,ENSMUSG00000039410
15414,ENSG00000084754,HADHA,Hadha,ENSMUSG00000025745
15423,ENSG00000103111,MON1B,Mon1b,ENSMUSG00000078908
15429,ENSG00000183960,KCNH8,Kcnh8,ENSMUSG00000035580
15430,ENSG00000201302,SNORA65,Gm22807,ENSMUSG00000064671
15431,ENSG00000201302,SNORA65,Gm25379,ENSMUSG00000077526
15432,ENSG00000201302,SNORA65,Snora65,ENSMUSG00000065124
15433,ENSG00000201302,SNORA65,Gm24613,ENSMUSG00000065200
15434,ENSG00000201302,SNORA65,Gm26440,ENSMUSG00000064525
15438,ENSG00000167825,OR5I1,Or5i1,ENSMUSG00000068816
15439,ENSG00000136830,NIBAN2,Niban2,ENSMUSG00000026796
15444,ENSG00000187612,OR5W2,Or5w22,ENSMUSG00000061520
15445,ENSG00000187612,OR5W2,Or5w11,ENSMUSG00000068819
15446,ENSG00000187612,OR5W2,Or5w18,ENSMUSG00000068815
15451,ENSG00000207220,RNU1-57P,Gm24725,ENSMUSG00000088854
15453,ENSG00000212611,SNORD30,Gm22680,ENSMUSG00000065782
15456,ENSG00000162174,ASRGL1,Asrgl1,ENSMUSG00000024654
15467,ENSG00000127184,COX7C,Cox7c,ENSMUSG00000017778
15471,ENSG00000185652,NTF3,Ntf3,ENSMUSG00000049107
15472,ENSG00000127527,EPS15L1,Eps15l1,ENSMUSG00000006276
15473,ENSG00000156253,RWDD2B,Rwdd2b,ENSMUSG00000041079
15474,ENSG00000118276,B4GALT6,B4galt6,ENSMUSG00000056124
15483,ENSG00000133704,IPO8,Ipo8,ENSMUSG00000040029
15485,ENSG00000099999,RNF215,Rnf215,ENSMUSG00000003581
15489,ENSG00000186479,RGS7BP,Rgs7bp,ENSMUSG00000021719
15491,ENSG00000114353,GNAI2,Gnai2,ENSMUSG00000032562
15497,ENSG00000185052,SLC24A3,Slc24a3,ENSMUSG00000063873
15510,ENSG00000196636,SDHAF3,Sdhaf3,ENSMUSG00000042505
15521,ENSG00000156256,USP16,Usp16,ENSMUSG00000025616
15525,ENSG00000164715,LMTK2,Lmtk2,ENSMUSG00000038970
15526,ENSG00000152669,CCNO,Ccno,ENSMUSG00000042417
15528,ENSG00000184939,ZFP90,Zfp90,ENSMUSG00000031907
15529,ENSG00000140287,HDC,Hdc,ENSMUSG00000027360
15531,ENSG00000100003,SEC14L2,Sec14l2,ENSMUSG00000003585
15532,ENSG00000109911,ELP4,Elp4,ENSMUSG00000027167
15545,ENSG00000204103,MAFB,Mafb,ENSMUSG00000074622
15546,ENSG00000164761,TNFRSF11B,Tnfrsf11b,ENSMUSG00000063727
15555,ENSG00000113494,PRLR,Prlr,ENSMUSG00000005268
15580,ENSG00000132793,LPIN3,Lpin3,ENSMUSG00000027412
15628,ENSG00000186472,PCLO,Pclo,ENSMUSG00000061601
15639,ENSG00000100721,TCL1A,Tcl1,ENSMUSG00000041359
15640,ENSG00000157911,PEX10,Pex10,ENSMUSG00000029047
15665,ENSG00000147036,LANCL3,Lancl3,ENSMUSG00000047344
15666,ENSG00000123179,EBPL,Ebpl,ENSMUSG00000021928
15668,ENSG00000182199,SHMT2,Shmt2,ENSMUSG00000025403
15673,ENSG00000187024,PTRH1,Ptrh1,ENSMUSG00000053746
15675,ENSG00000019549,SNAI2,Snai2,ENSMUSG00000022676
15679,ENSG00000124177,CHD6,Chd6,ENSMUSG00000057133
15687,ENSG00000140450,ARRDC4,Arrdc4,ENSMUSG00000042659
15691,ENSG00000172167,MTBP,Mtbp,ENSMUSG00000022369
15699,ENSG00000136110,CNMD,Cnmd,ENSMUSG00000022025
15706,ENSG00000179222,MAGED1,Maged1,ENSMUSG00000025151
15708,ENSG00000277893,SRD5A2,Srd5a2,ENSMUSG00000038541
15712,ENSG00000100604,CHGA,Chga,ENSMUSG00000021194
15718,ENSG00000103175,WFDC1,Wfdc1,ENSMUSG00000023336
15724,ENSG00000143867,OSR1,Osr1,ENSMUSG00000048387
15726,ENSG00000142655,PEX14,Pex14,ENSMUSG00000028975
15730,ENSG00000160401,CFAP157,Cfap157,ENSMUSG00000038987
15737,ENSG00000183891,TTC32,Ttc32,ENSMUSG00000066637
15745,ENSG00000136099,PCDH8,Pcdh8,ENSMUSG00000036422
15756,ENSG00000156261,CCT8,Cct8,ENSMUSG00000025613
15762,ENSG00000183655,KLHL25,Klhl25,ENSMUSG00000055652
15763,ENSG00000167094,TTC16,Ttc16,ENSMUSG00000039021
15792,ENSG00000122507,BBS9,Bbs9,ENSMUSG00000035919
15796,ENSG00000084710,EFR3B,Efr3b,ENSMUSG00000020658
15803,ENSG00000140948,ZCCHC14,Zcchc14,ENSMUSG00000061410
15812,ENSG00000181026,AEN,Aen,ENSMUSG00000030609
15814,ENSG00000156469,MTERF3,Mterf3,ENSMUSG00000021519
15820,ENSG00000124107,SLPI,Slpi,ENSMUSG00000017002
15821,ENSG00000100605,ITPK1,Itpk1,ENSMUSG00000057963
15828,ENSG00000160404,TOR2A,Tor2a,ENSMUSG00000009563
15833,ENSG00000149527,PLCH2,Plch2,ENSMUSG00000029055
15836,ENSG00000101443,WFDC2,Wfdc2,ENSMUSG00000017723
15851,ENSG00000242114,MTFP1,Mtfp1,ENSMUSG00000004748
15882,ENSG00000276644,DACH1,Dach1,ENSMUSG00000055639
15883,ENSG00000185787,MORF4L1,Morf4l1,ENSMUSG00000062270
15893,ENSG00000101446,SPINT3,Spint3,ENSMUSG00000074596
15899,ENSG00000163512,AZI2,Azi2,ENSMUSG00000039285
15903,ENSG00000101665,SMAD7,Smad7,ENSMUSG00000025880
15904,ENSG00000095370,SH2D3C,Sh2d3c,ENSMUSG00000059013
15906,ENSG00000135686,KLHL36,Klhl36,ENSMUSG00000031828
15909,ENSG00000100012,SEC14L3,Sec14l3,ENSMUSG00000054986
15914,ENSG00000101448,EPPIN,Eppin,ENSMUSG00000017733
15916,ENSG00000136982,DSCC1,Dscc1,ENSMUSG00000022422
15917,ENSG00000168404,MLKL,Mlkl,ENSMUSG00000012519
15918,ENSG00000141429,GALNT1,Galnt1,ENSMUSG00000000420
15921,ENSG00000124116,WFDC3,Wfdc3,ENSMUSG00000076434
15923,ENSG00000172172,MRPL13,Mrpl13,ENSMUSG00000022370
15925,ENSG00000171621,SPSB1,Spsb1,ENSMUSG00000039911
15930,ENSG00000152213,ARL11,Arl11,ENSMUSG00000043157
15931,ENSG00000102466,FGF14,Fgf14,ENSMUSG00000025551
15941,ENSG00000142583,SLC2A5,Slc2a5,ENSMUSG00000028976
15948,ENSG00000136999,CCN3,Ccn3,ENSMUSG00000037362
15949,ENSG00000005194,CIAPIN1,Ciapin1,ENSMUSG00000031781
15959,ENSG00000171532,NEUROD2,Neurod2,ENSMUSG00000038255
15962,ENSG00000187772,LIN28B,Lin28b,ENSMUSG00000063804
15969,ENSG00000134901,POGLUT2,Poglut2,ENSMUSG00000026047
15971,ENSG00000215421,ZNF407,Zfp407,ENSMUSG00000048410
15973,ENSG00000094804,CDC6,Cdc6,ENSMUSG00000017499
15977,ENSG00000101457,DNTTIP1,Dnttip1,ENSMUSG00000017299
15990,ENSG00000164434,FABP7,Fabp7,ENSMUSG00000019874
15991,ENSG00000165943,MOAP1,Moap1,ENSMUSG00000096458
15992,ENSG00000164841,TMEM74,Tmem74,ENSMUSG00000054409
15993,ENSG00000166016,ABTB2,Abtb2,ENSMUSG00000032724
15997,ENSG00000148702,HABP2,Habp2,ENSMUSG00000025075
16000,ENSG00000133488,SEC14L4,Sec14l4,ENSMUSG00000019368
16005,ENSG00000156804,FBXO32,Fbxo32,ENSMUSG00000022358
16007,ENSG00000126062,TMEM115,Tmem115,ENSMUSG00000010045
16008,ENSG00000153485,LYSET,Lyset,ENSMUSG00000046675
16016,ENSG00000111911,HINT3,Hint3,ENSMUSG00000019791
16034,ENSG00000170270,GON7,Gon7,ENSMUSG00000091931
16037,ENSG00000226742,HSBP1L1,Hsbp1l1,ENSMUSG00000078963
16039,ENSG00000196208,GREB1,Greb1,ENSMUSG00000036523
16040,ENSG00000114349,GNAT1,Gnat1,ENSMUSG00000034837
16051,ENSG00000034693,PEX3,Pex3,ENSMUSG00000019809
16054,ENSG00000012963,UBR7,Ubr7,ENSMUSG00000041712
16063,ENSG00000141759,TXNL4A,Txnl4a,ENSMUSG00000057130
16066,ENSG00000186795,KCNK18,Kcnk18,ENSMUSG00000040901
16072,ENSG00000229544,NKX1-2,Nkx1-2,ENSMUSG00000048528
16073,ENSG00000107902,LHPP,Lhpp,ENSMUSG00000030946
16083,ENSG00000152520,PAN3,Pan3,ENSMUSG00000029647
16087,ENSG00000108344,PSMD3,Psmd3,ENSMUSG00000017221
16091,ENSG00000152495,CAMK4,Camk4,ENSMUSG00000038128
16097,ENSG00000136807,CDK9,Cdk9,ENSMUSG00000009555
16098,ENSG00000173614,NMNAT1,Nmnat1,ENSMUSG00000028992
16101,ENSG00000025156,HSF2,Hsf2,ENSMUSG00000019878
16102,ENSG00000172289,OR10V1,Or10v1,ENSMUSG00000060878
16114,ENSG00000166033,HTRA1,Htra1,ENSMUSG00000006205
16116,ENSG00000166889,PATL1,Patl1,ENSMUSG00000046139
16119,ENSG00000130021,PUDP,Pudp,ENSMUSG00000048875
16123,ENSG00000132561,MATN2,Matn2,ENSMUSG00000022324
16124,ENSG00000101546,RBFA,Rbfa,ENSMUSG00000024570
16127,ENSG00000142173,COL6A2,Col6a2,ENSMUSG00000020241
16133,ENSG00000114378,HYAL1,Hyal1,ENSMUSG00000010051
16136,ENSG00000175063,UBE2C,Ube2c,ENSMUSG00000001403
16137,ENSG00000128242,GAL3ST1,Gal3st1,ENSMUSG00000049721
16138,ENSG00000204624,DISP3,Disp3,ENSMUSG00000041544
16142,ENSG00000152270,PDE3B,Pde3b,ENSMUSG00000030671
16144,ENSG00000200840,RNU6-82P,Gm55093,ENSMUSG00002075277
16145,ENSG00000102755,FLT1,Flt1,ENSMUSG00000029648
16147,ENSG00000130054,NALF2,Nalf2,ENSMUSG00000071719
16153,ENSG00000100601,ALKBH1,Alkbh1,ENSMUSG00000079036
16157,ENSG00000188153,COL4A5,Col4a5,ENSMUSG00000031274
16158,ENSG00000136877,FPGS,Fpgs,ENSMUSG00000009566
16160,ENSG00000105141,CASP14,Casp14,ENSMUSG00000005355
16164,ENSG00000137251,TINAG,Tinag,ENSMUSG00000032357
16167,ENSG00000101544,ADNP2,Adnp2,ENSMUSG00000053950
16175,ENSG00000119705,SLIRP,Slirp,ENSMUSG00000021040
16179,ENSG00000064490,RFXANK,Rfxank,ENSMUSG00000036120
16182,ENSG00000154118,JPH3,Jph3,ENSMUSG00000025318
16184,ENSG00000161405,IKZF3,Ikzf3,ENSMUSG00000018168
16190,ENSG00000114388,NPRL2,Nprl2,ENSMUSG00000010057
16191,ENSG00000142606,MMEL1,Mmel1,ENSMUSG00000058183
16195,ENSG00000178184,PARD6G,Pard6g,ENSMUSG00000056214
16225,ENSG00000112837,TBX18,Tbx18,ENSMUSG00000032419
16226,ENSG00000178342,KCNG2,Kcng2,ENSMUSG00000059852
16227,ENSG00000140937,CDH11,Cdh11,ENSMUSG00000031673
16246,ENSG00000165650,PDZD8,Pdzd8,ENSMUSG00000074746
16249,ENSG00000101557,USP14,Usp14,ENSMUSG00000047879
16250,ENSG00000005175,RPAP3,Rpap3,ENSMUSG00000022466
16256,ENSG00000063761,ADCK1,Adck1,ENSMUSG00000021044
16266,ENSG00000146386,ABRACL,Abracl,ENSMUSG00000078453
16272,ENSG00000178295,GEN1,Gen1,ENSMUSG00000051235
16277,ENSG00000095970,TREM2,Trem2,ENSMUSG00000023992
16285,ENSG00000101470,TNNC2,Tnnc2,ENSMUSG00000017300
16287,ENSG00000164258,NDUFS4,Ndufs4,ENSMUSG00000021764
16289,ENSG00000077147,TM9SF3,Tm9sf3,ENSMUSG00000025016
16293,ENSG00000124942,AHNAK,Ahnak,ENSMUSG00000069833
16298,ENSG00000196591,HDAC2,Hdac2,ENSMUSG00000019777
16299,ENSG00000168612,ZSWIM1,Zswim1,ENSMUSG00000017764
16306,ENSG00000124207,CSE1L,Cse1l,ENSMUSG00000002718
16319,ENSG00000163032,VSNL1,Vsnl1,ENSMUSG00000054459
16322,ENSG00000100029,PES1,Pes1,ENSMUSG00000020430
16324,ENSG00000164211,STARD4,Stard4,ENSMUSG00000024378
16336,ENSG00000185069,KRT76,Krt76,ENSMUSG00000075402
16337,ENSG00000151748,SAV1,Sav1,ENSMUSG00000021067
16339,ENSG00000177692,DNAJC28,Dnajc28,ENSMUSG00000039763
16341,ENSG00000160256,SLX9,Slx9,ENSMUSG00000032977
16342,ENSG00000148948,LRRC4C,Lrrc4c,ENSMUSG00000050587
16363,ENSG00000171729,TMEM51,Tmem51,ENSMUSG00000040616
16367,ENSG00000100504,PYGL,Pygl,ENSMUSG00000021069
16376,ENSG00000156509,FBXO43,Fbxo43,ENSMUSG00000048230
16379,ENSG00000011347,SYT7,Syt7,ENSMUSG00000024743
16390,ENSG00000141433,ADCYAP1,Adcyap1,ENSMUSG00000024256
16405,ENSG00000157542,KCNJ6,Kcnj6,ENSMUSG00000043301
16406,ENSG00000083635,NUFIP1,Nufip1,ENSMUSG00000022009
16408,ENSG00000140950,MEAK7,Meak7,ENSMUSG00000034105
16409,ENSG00000137575,SDCBP,Sdcbp,ENSMUSG00000028249
16410,ENSG00000139117,CPNE8,Cpne8,ENSMUSG00000052560
16411,ENSG00000168301,KCTD6,Kctd6,ENSMUSG00000021752
16412,ENSG00000118961,LDAH,Ldah,ENSMUSG00000037669
16425,ENSG00000141642,ELAC1,Elac1,ENSMUSG00000036941
16429,ENSG00000037637,FBXO42,Fbxo42,ENSMUSG00000028920
16431,ENSG00000124214,STAU1,Stau1,ENSMUSG00000039536
16441,ENSG00000144566,RAB5A,Rab5a,ENSMUSG00000017831
16448,ENSG00000171307,ZDHHC16,Zdhhc16,ENSMUSG00000025157
16453,ENSG00000159423,ALDH4A1,Aldh4a1,ENSMUSG00000028737
16455,ENSG00000103091,WDR59,Wdr59,ENSMUSG00000031959
16462,ENSG00000101574,METTL4,Mettl4,ENSMUSG00000055660
16465,ENSG00000188342,GTF2F2,Gtf2f2,ENSMUSG00000067995
16477,ENSG00000175426,PCSK1,Pcsk1,ENSMUSG00000021587
16485,ENSG00000137845,ADAM10,Adam10,ENSMUSG00000054693
16492,ENSG00000134594,RAB33A,Rab33a,ENSMUSG00000031104
16501,ENSG00000180332,KCTD4,Kctd4,ENSMUSG00000046523
16502,ENSG00000133112,TPT1,Tpt1,ENSMUSG00000060126
16513,ENSG00000056277,ZNF280C,Zfp280c,ENSMUSG00000036916
